State,Action_0,Action_1,Action_2,Action_3
0,0.0,44.53157894736841,0.0,39.1315789473684
1,0.0,42.36842105262557,40.59242105262729,42.36842105263156
2,0.0,52.631578947368396,39.1315789473684,0.0
3,41.07842105263157,48.36842105263156,0.0,42.36842105263156
4,36.89230430969016,52.625774984207126,42.86743157297292,52.631578947368396
5,42.36842104967308,57.36842105263156,42.36842105263156,0.0
6,44.53157894736841,0.0,0.0,52.631578947368396
7,42.36842105263156,0.0,48.36842105263152,57.36842105263156
8,52.631578947368396,0.0,52.631578947368396,0.0
